CUSTNAME;STREET;ZIPCODE;CITY;COUNTRY;VATNUMB;CUSTLANG;COMP;CUSTNUMB;DOCNUMB;DOCAMOUNT;DOCDATE;DUEDATE;PHONENUMBER;EMAILADDRESS;COMMENTS
SOREMARTEC SERV COMPTABILITE SA;FBC RTE DE TREVES COMPLEXE C;2633;SENNINGERBERG GDLUX;LU;LU26273002;F;3040;1001376;3307011779; 2,965.07 ;20/11/2013;20/11/2013;0;;
SOREMARTEC SERV COMPTABILITE SA;FBC RTE DE TREVES COMPLEXE C;2633;SENNINGERBERG GDLUX;LU;LU26273002;F;3040;1001376;3307013089; 2,247.23 ;7/03/2014;7/03/2014;0;;
SOREMARTEC SERV COMPTABILITE SA;FBC RTE DE TREVES COMPLEXE C;2633;SENNINGERBERG GDLUX;LU;LU26273002;F;3040;1001376;3307011963; 2,247.23 ;6/12/2013;6/12/2013;0;;
SCIE ;RUE DES BRUYERES 22;1274;HOWALD GDLUX;LU;LU11398767;F;3040;1139494;3307012402; 2,133.48 ;10/01/2014;10/01/2014;0;;
SCIE ;RUE DES BRUYERES 22;1274;HOWALD GDLUX;LU;LU11398767;F;3040;1139494;3307012827; 2,133.48 ;7/02/2014;7/02/2014;0;;
SCIE ;RUE DES BRUYERES 22;1274;HOWALD GDLUX;LU;LU11398767;F;3040;1139494;3307013053; 2,133.48 ;7/03/2014;7/03/2014;0;;
SCIE ;RUE DES BRUYERES 22;1274;HOWALD GDLUX;LU;LU11398767;F;3040;1139494;3307011949; 2,133.48 ;6/12/2013;6/12/2013;0;;
JONES LANG LASALLE LUXEMBOURG SECS ;RUE DU PUITS ROMAIN 41;8070;BERTRANGE GD LUX;LU;LU13752217;F;3040;1142273;3307012851; 1,397.25 ;7/02/2014;7/02/2014;00352464540;;
SAM HWA STEEL SA ;KRAKELSHAFF;3235;BETTEMBOURG GDLUX;LU;LU19882802;F;3040;1146866;3307012831; 1,033.85 ;7/02/2014;7/02/2014;03522652681;;
SAM HWA STEEL SA ;KRAKELSHAFF;3235;BETTEMBOURG GDLUX;LU;LU19882802;F;3040;1146866;3307011686; 1,033.85 ;8/11/2013;8/11/2013;03522652681;;
INBC DEV ;RUE DU FORT RHEINSHEIM 8;2419;LUXEMBOURG GDLUX;LU;LU19749100;F;3040;1144364;3307013041; 1,033.21 ;7/03/2014;7/03/2014;00352455757;;
INBC DEV ;RUE DU FORT RHEINSHEIM 8;2419;LUXEMBOURG GDLUX;LU;LU19749100;F;3040;1144364;3307011000; 1,033.21 ;5/09/2013;5/09/2013;00352455757;;
INBC DEV ;RUE DU FORT RHEINSHEIM 8;2419;LUXEMBOURG GDLUX;LU;LU19749100;F;3040;1144364;3307011980; 1,033.21 ;6/12/2013;6/12/2013;00352455757;;
ARAL TANKSTELLEN SERVICES SARL ;RTE DE LONGWY 36;8080;BERTRANGE GDLUX;LU;LU18219815;F;3040;1145387;3307012180; 972.90 ;9/01/2014;9/01/2014;422722;;
PAYPAL EUROPE SARL ;BLD ROYAL 22-24;2443;LUXEMBOURG GDLUX;LU;LU21416127;F;3040;1150198;3307011427; 727.88 ;8/10/2013;8/10/2013;0035226639102;;
